SNo,Provinces,Name,Municipal sub-type,Population -2011,Population -2006,Change (%),Land area (km²),Population density (per km2),,,
1, Ontario,Addington Highlands,Township,"2,532","2,512",0.8,"1,329.93",1.9,,,
2, Ontario,Adelaide-Metcalfe,Township,"3,028","3,135",?3.4,331.38,9.1,,,
3, Ontario,Adjala-Tosorontio,Township,"10,603","10,695",?0.9,372.39,28.5,,,
4, Ontario,Admaston/Bromley,Township,"2,844","2,716",4.7,524.6,5.4,,,
5, Ontario,Ajax,Town,"1,09,600","90,167",21.6,67.07,"1,634.20",,,
6, Ontario,Alberton,Township,864,958,?9.8,115.43,7.5,,,
7, Ontario,Alfred and Plantagenet,Township,"9,196","8,654",6.3,392.45,23.4,,,
8, Ontario,Algonquin Highlands,Township,"2,156","1,976",9.1,"1,004.76",2.1,,,
9, Ontario,Alnwick/Haldimand,Township,"6,617","6,435",2.8,398.57,16.6,,,
10, Ontario,Amaranth,Township,"3,963","3,845",3.1,264.5,15,,,
11, Ontario,Amherstburg,Town,"21,556","21,748",?0.9,185.68,116.1,,,
12, Ontario,The Archipelago,Township,566,576,?1.7,606.56,0.9,,,
13, Ontario,Armour,Township,"1,372","1,249",9.8,164.44,8.3,,,
14, Ontario,Armstrong,Township,"1,216","1,155",5.3,90.33,13.5,,,
15, Ontario,Arnprior,Town,"8,114","7,158",13.4,13.04,622.2,,,
16, Ontario,Arran-Elderslie,Municipality,"6,810","6,747",0.9,460.13,14.8,,,
17, Ontario,Ashfield-Colborne-Wawanosh,Township,"5,582","5,409",3.2,587.08,9.5,,,
18, Ontario,Asphodel-Norwood,Township,"4,041","4,247",?4.9,160.98,25.1,,,
19, Ontario,Assiginack,Township,960,914,5,227.87,4.2,,,
20, Ontario,Athens,Township,"3,118","3,086",1,127.77,24.4,,,
21, Ontario,Atikokan,Town,"2,787","3,293",?15.4,319.29,8.7,,,
22, Ontario,Augusta,Township,"7,430","7,510",?1.1,314.73,23.6,,,
23, Ontario,Aurora,Town,"53,203","47,629",11.7,49.78,"1,068.80",,,
24, Ontario,Aylmer,Town,"7,151","7,069",1.2,6.22,"1,148.90",,,
25, Ontario,Baldwin,Township,551,554,?0.5,83.29,6.6,,,
26, Ontario,Bancroft,Town,"3,880","3,838",1.1,229.56,16.9,,,
27, Ontario,Barrie,City,"1,36,063","1,28,430",5.9,77.39,"1,758.10",,,
28, Ontario,Bayham,Municipality,"6,989","6,727",3.9,245,28.5,,,
29, Ontario,Beckwith,Township,"6,986","6,387",9.4,240.51,29,,,
