,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_screen_name,user_description,user_followers_count,user_friends_count,user_location,user_screen_name.1,user_statuses_count,user_verified
9905,,Thu Apr 23 00:20:59 +0000 2020,オモ写 家にいるだけで世界は救える マーベルレジェン marvellegends mcu CaptainMarvel scarletwitch BlackWidow NatashaRomanoff pepperpotts wanda ScarlettJohansson Elisabetholsen StayHome,https://twitter.com/goldhawkickz13/status/1253116624418353153/photo/1,,0,1253116624418353153,goldhawkickz13,1.2531164150345114e+18,1018341289.0,und,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",# ## #marvellegends #mcu #captainmarvel #scarletwitch #blackwidow #natasharomanoff #pepperpotts #wanda #scarlettjohansson #elisabetholsen #stayhome https://t.co/jfi3s0yaav,https://twitter.com/goldhawkickz13/status/1253116624418353153,goldhawkickz13,"アニメ、仮面ライーダ、バスケ。
コンティニューしてでも,クリアする",49,144,canada,goldhawkickz13,17721,False
11828,,Thu Apr 23 00:21:46 +0000 2020,オモ写 家にいるだけで世界は救える マーベルレジェン marvellegends mcu CaptainMarvel scarletwitch BlackWidow NatashaRomanoff pepperpotts wanda ScarlettJohansson Elisabetholsen StayHome,https://twitter.com/goldhawkickz13/status/1253116821101830144/photo/1,,1,1253116821101830144,goldhawkickz13,1.2531166244183532e+18,1018341289.0,und,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",# ## #marvellegends #mcu #captainmarvel #scarletwitch #blackwidow #natasharomanoff #pepperpotts #wanda #scarlettjohansson #elisabetholsen #stayhome https://t.co/ecwigyjkgj,https://twitter.com/goldhawkickz13/status/1253116821101830144,goldhawkickz13,"アニメ、仮面ライーダ、バスケ。
コンティニューしてでも,クリアする",49,144,canada,goldhawkickz13,17721,False
30695,,Thu Apr 23 00:46:10 +0000 2020,,,,0,1253122962884100096,theJagmeetSingh,1.2529805233681572e+18,253340075.0,en,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@thejagmeetsingh ...wow...help me here....is there anybody in ottawa that has a clue...the comedy has worn thin...and you morons are starting to get on my nerves...please...stop social distancing....,https://twitter.com/Einstei12644119/status/1253122962884100096,Einstei12644119,No filter currently hate my country have been completely embarrassed to admit I am canadian since 2015...we need something different...trudeau is an idiot..,386,341,peoples republic of canada!,Einstei12644119,8622,False
484,,Thu Apr 23 00:00:10 +0000 2020,,,http://ow.ly/ykEr50zlUk2,0,1253111386483367938,,,,en,0,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",local domestic violence experts say pandemic creates conditions ripe for abuse https://t.co/1zwroaq1nk,https://twitter.com/AlmanacNews/status/1253111386483367938,AlmanacNews,"Community news for four California towns: Atherton, Menlo Park, Portola Valley and Woodside.",2078,401,"Menlo Park, California",AlmanacNews,10703,False
3242,,Thu Apr 23 00:01:17 +0000 2020,,,,2,1253111667799490560,KatrinaGAGirl,1.2531100772355727e+18,89563887.0,en,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@katrinagagirl @only_rock_radio @adammit36827234 lol things are ok in adamland  this part of south carolina is not effected by covid as heavily as other parts of the country so it work as usual. my  goes out to so many! i hope your ok in katrinaland ,https://twitter.com/AdamH1966/status/1253111667799490560,AdamH1966,ASCAP Original Music Recording Artist https://t.co/DVWBvFxlzp,3372,3604,"Murrells Inlet, SC",AdamH1966,29220,False
5245,,Thu Apr 23 00:02:07 +0000 2020,,,https://www.foreigner.fi/articulo/coronavirus/corona-has-been-found-in-18-kindergartens-in-helsinki/20200421191343005422.html,0,1253111876654899203,olyapka,1.2531115576025866e+18,10533432.0,ru,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@olyapka ,          .  ,    ,          ,  .      https://t.co/dsygfswyld     .",https://twitter.com/badgercat/status/1253111876654899203,badgercat,"Когда жизнь даёт мне лимоны, я забываю про них на два месяца и они засыхают в холодильнике.
Тоже в IT. Позади 45 стран и 215 городов.",1370,454,Finland,badgercat,96636,False
11214,,Thu Apr 23 00:21:31 +0000 2020,,,https://revoluciontrespuntocero.mx/el-as-bajo-la-manga-de-amlo-ante-covid-19-781-mil-mdp-que-pri-y-pan-usaban-como-caja-chica-para-enriquecer-a-funcionarios-y-empresarios/?utm_source=Revoluci%C3%B3n&utm_medium=3.0&utm_campaign=,0,1253116758581547012,,,,es,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",el as bajo la manga de amlo ante covid19:781 mil mdp que pri y pan usaban como caja chica para enriquecer a funcionarios y empresarios | revolucin 3.0 https://t.co/ci4nc6gbux por eso ahora estn tan enojadas estas ratas,https://twitter.com/ProfeSanGabriel/status/1253116758581547012,ProfeSanGabriel,"Cryptotrader, philosopher, educator and AMLOver:
Professor of English, Spanish, psychology and social sciences.",26,178,Clases personalizadas online,ProfeSanGabriel,2902,False
11999,,Thu Apr 23 00:21:52 +0000 2020,,https://twitter.com/affectionsina/status/1252980315540373505/video/1,,1,1253116846603210753,,,,pt,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",o ministro dizendo que o corona vrus e o poder da oms sobre isso  um novo movimento consumista e que dar poder pra oms  errado??????????????https://t.co/kp1mbtevcb,https://twitter.com/hazzwk/status/1253116846603210753,hazzwk,"⠀ — this user love and protects 𝘁𝗶𝗺𝗲 by pink floyd all costs, 1973 (she/her)",2134,2059,only nourry,hazzwk,16408,False
13166,,Thu Apr 23 00:22:20 +0000 2020,,,,0,1253116964802899971,louclaire27,1.223750202445779e+18,465668612.0,en,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@louclaire27 @stayeuropean its a nice idea,but worth bearing in mind that members of the eu are going to have to bail out large swathes of the community after this pandemic.",https://twitter.com/15letterslong/status/1253116964802899971,15letterslong,Having difficulty adding a bio to my profile.,172,866,Greenland,15letterslong,4943,False
13729,,Thu Apr 23 00:22:32 +0000 2020,Covid19,,https://buff.ly/3eIhuMX,1,1253117015377809413,,,,en,0,,,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",bless them and keep them safe #covid19  &gt;&gt; 34 colorado health care workers are flying to new jersey to help fight covid19 https://t.co/2jklaspo9j,https://twitter.com/MsLuchesi/status/1253117015377809413,MsLuchesi,"A #VirtualSupport professional, social media enthusiast, avid reader, wannabe gardener, delights in the rain, moonchild & CEO of my life.",2193,2354,Online,MsLuchesi,3639,False
