,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_screen_name,user_description,user_followers_count,user_friends_count,user_location,user_screen_name.1,user_statuses_count,user_verified
2131,,Thu Apr 23 00:00:50 +0000 2020,,,,0,1253111550602129410,,,,und,105076,1.2530749338544128e+18,kittheedisaster,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rt @keith_dude: https://t.co/qmxgjfyzjs,https://twitter.com/kaydynb/status/1253111550602129410,kaydynb,UFV | 19,415,491,she/her • canada,kaydynb,23777,False
10925,,Thu Apr 23 00:21:24 +0000 2020,BecauseOfCourse,,,0,1253116729074413569,,,,und,21,1.2530897171024855e+18,aurora_phlox,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",rt @aurora_phlox: #becauseofcourse,https://twitter.com/Cindoie/status/1253116729074413569,Cindoie,,259,292,canada,Cindoie,131199,False
29456,,Thu Apr 23 00:45:41 +0000 2020,,,,0,1253122840683044866,,,,en,17,1.2529711359157903e+18,gofundme,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rt @gofundme: never one to shy away from discussing her own struggles with mental health, demi is urging others to ""take that first step in",https://twitter.com/iLive4_Myself/status/1253122840683044866,iLive4_Myself,bitch don’t kill my vibe ya tried ~fan account~,3527,2272,canada,iLive4_Myself,669897,False
29683,,Thu Apr 23 00:45:46 +0000 2020,,,,0,1253122861574901761,,,,en,318,1.2531044107476992e+18,MikeHudema,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rt @mikehudema: as we stay at home to protect each other, nature is reemerging in cities all of the world. we're all on this planet togeth",https://twitter.com/redwingjohnny/status/1253122861574901761,redwingjohnny,Just a city boy....... Born and raised in South Detroit.  life long Detroit Red Wing fan.  Je suis la résistance    #TheResistance   #FBR  #BLM,4077,3903,"windsor, ontario",redwingjohnny,37541,False
10713,,Thu Apr 23 00:21:20 +0000 2020,,,,0,1253116713148825600,,,,en,128,1.2531065308887e+18,ABC,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rt @abc: u.s. surgeon general jerome adams says its important to know that if youre going to wear a mask, its not a substitute for soci",https://twitter.com/milkcrate57/status/1253116713148825600,milkcrate57,"chef, teacher, fermenter, pickler, always learning, casual foodie",355,2610,athens ga,milkcrate57,30201,False
27015,,Thu Apr 23 00:44:42 +0000 2020,,,,0,1253122594099912704,,,,en,3843,1.25311858676523e+18,tedlieu,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rt @tedlieu: any business in georgia now exposes itself to being sued if an employee can show causation &amp; gets very ill or dies from #covid,https://twitter.com/milkcrate57/status/1253122594099912704,milkcrate57,"chef, teacher, fermenter, pickler, always learning, casual foodie",355,2610,athens ga,milkcrate57,30201,False
494,,Thu Apr 23 00:00:10 +0000 2020,,,,0,1253111386051239936,,,,en,16,1.2530986441333473e+18,ANC168,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","rt @anc168: fauci is contributing decrease of cases since people wearing masks to social distancing.  when opening the society, w/o wearin",https://twitter.com/EinsteinsMagic/status/1253111386051239936,EinsteinsMagic,🎼I F B & Make Memes for the Masses🎶🎟https://t.co/AVSTgex2po. https://t.co/fsWiG5IA7R,101739,100753,War torn Republic of DemonRats,EinsteinsMagic,127793,False
6640,,Thu Apr 23 00:02:42 +0000 2020,COVIDー19,,,0,1253112024474714117,,,,es,110,1.2529604911289795e+18,almagoch,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",rt @almagoch: las guas del @nih para tratar el#covid19 no recomiendan el uso de prcticamente ninguna de las terapias populares: hidroxi,https://twitter.com/edvela52/status/1253112024474714117,edvela52,"Ontoy estas .. las alusiones no son personales, el saco es personal .. pediatrics - fellowship @Tulane Hospital New Orleans-",1191,1213,Democratic Fifidonia Republic,edvela52,42435,False
7824,,Thu Apr 23 00:03:10 +0000 2020,,,,0,1253112141214818309,,,,es,226,1.2530720931740058e+18,Tavares_Andrea,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rt @tavares_andrea: los pensionados y jubilados estn abandonados a su suerte, son un grupo de riesgo y no tienen una pensin digna para co",https://twitter.com/Nanaka617/status/1253112141214818309,Nanaka617,"Fan del manganime, cómic, Jpop, libros, BMG, cine, teatro, series, concursos de FB-Twitter-IG... loca por los sparkies, TWH y Mucuchie!",365,778,Al otro extremo de la galaxia,Nanaka617,84732,False
13836,,Thu Apr 23 00:22:35 +0000 2020,,,,0,1253117027595833344,,,,en,361,1.252652150011945e+18,AlexandraErin,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rt @alexandraerin: instead of social distancing, let's try social instancing. every time someone goes to target, we generate a unique copy",https://twitter.com/championredoak/status/1253117027595833344,championredoak,"Gabby | he/him, it/its, they/them | 23 | i love pokemon thx",81,384,pokemon hell,championredoak,14099,False
